sentence,word,word2,sent_id,item_id,list
Arthur placed,the,THE,96,577,1
Finally Maria sat down with a,cup,CUP,152,1093,1
He smiled again and felt like a,man,MAN,183,1440,1
She wound up,talking,TALKING,142,988,1
"Good God, if you are","watching,","WATCHING,",86,500,1
The truck was an older,version,VERSION,174,1334,1
Emma put her mug of,tea,TEA,178,1378,1
Dexter opened his letter and found a,photograph,PHOTOGRAPH,104,646,1
In the morning at breakfast,Mike,MIKE,162,1202,1
He was,already,ALREADY,202,1672,1
She hid the,boxes,BOXES,53,270,1
There will be men to kill either,way.,WAY,81,464,1
Billy knocked on the door and waited till he was told,to,TO,189,1516,1
The shout caught him,off,OFF,193,1557,1
I dont want to hear,it.,IT,23,103,1
Anne lost control,and,AND,1,3,1
He drank too much at times,and,AND,154,1115,1
Looks like a,walk,WALK,41,198,1
One by one she placed her teeth about their,necks,NECKS,192,1550,1
Roger,smiled,SMILED,8,29,1
Youre,getting,GETTING,58,298,1
The campaign will pay for,itself.,ITSELF,30,138,1
He held his mother,tight,TIGHT,133,899,1
Dont die of cold,before,BEFORE,85,491,1
Bruce is looking for someone to take the,spare,SPARE,179,1393,1
I shall have a victory and,I,I,160,1181,1
Charles,felt,FELT,101,616,1
He sat his son up on the table,and,AND,195,1586,1
He sighed and walked back,to,TO,91,540,1
He held his mother tight and she cried into,his,HIS,133,904,1
He drank too,much,MUCH,154,1112,1
He came back to his senses when he heard his dad stand up to,him.,HIM,201,1670,1
I dont,want,WANT,23,100,1
He is,after,AFTER,88,513,1
Alec stood against the wall,to,TO,72,399,1
The police officer got out of the van and picked,up,UP,198,1627,1
In the morning at breakfast Mike smiled at the letter,he,HE,162,1207,1
Phil let him go and Charlie fell to,the,THE,120,782,1
We,should,SHOULD,176,1352,1
Gordon felt his anger build,up.,UP,16,68,1
Sam felt proud when he,went,WENT,42,206,1
James walked in to wake,Samuel,SAMUEL,165,1235,1
The police officer got out of the van,and,AND,198,1625,1
If I have,time,TIME,196,1594,1
The brothers stood,up,UP,128,849,1
They turned round just,as,AS,108,675,1
He,knocked,KNOCKED,181,1410,1
He sighed and,walked,WALKED,91,538,1
Ross sat back down and,shivered.,SHIVERED,27,123,1
He,had,HAD,156,1132,1
Billy knocked on the door and,waited,WAITED,189,1511,1
He folded his arms across his,chest,CHEST,155,1126,1
He smiled again and felt like a man and not just the,kid.,KID,183,1445,1
William sat down and tucked into his,breakfast.,BREAKFAST,71,394,1
I,cant,CANT,185,1458,1
He uses his belt,on,ON,20,87,1
Now the man is coming who will give it back to,me.,ME,170,1296,1
She threatened to leave,before,BEFORE,171,1300,1
Michael knew they never hit him and that was,half,HALF,168,1272,1
If I have time at the end Ill fill you,in,IN,196,1601,1
Billy,knocked,KNOCKED,189,1506,1
From the moment we leave this,spot,SPOT,180,1403,1
He drank,too,TOO,154,1111,1
He,sat,SAT,64,339,1
She wound up talking to,Barry,BARRY,142,990,1
Ill give,him,HIM,39,185,1
I do not spare the birds a,killing.,KILLING,67,366,1
He went to the,door,DOOR,134,909,1
Tom stood up,and,AND,48,240,1
Run along,home,HOME,140,967,1
He sat down and began,to,TO,64,343,1
He sat his son up on the table and laid,his,HIS,195,1588,1
He didnt seem to mind that she was screaming,in,IN,153,1107,1
He,came,CAME,201,1657,1
We shall,arrive,ARRIVE,145,1017,1
You shouldnt have been racing,my,MY,149,1060,1
Scott,got,GOT,43,208,1
The police officer got out of the van and picked up the two,cans.,CANS,198,1630,1
If I have time at the end Ill fill you in on what,happened.,HAPPENED,196,1604,1
He heaved his,shoulders,SHOULDERS,87,506,1
The brothers stood up and came,down,DOWN,128,852,1
Christopher groaned and lay his hands,across,ACROSS,102,629,1
She threatened to leave before and this time she just,had,HAD,171,1306,1
Henry washed his hands and sat on the seat in,front,FRONT,197,1614,1
They stared at the black wall and now,this,THIS,175,1348,1
Henry washed his hands and sat on the seat,in,IN,197,1613,1
The speaker turned to her,with,WITH,199,1635,1
He smiled when she let out,a,A,92,549,1
Alan told Jason he would just sit outside to,have,HAVE,169,1283,1
I cant see any amount of talk getting you out of this,mess.,MESS,185,1469,1
If this were a movie instead of a,book,BOOK,204,1706,1
One by one she placed her teeth about their necks,and,AND,192,1551,1
We shall arrive properly or you will,never,NEVER,145,1022,1
Sam felt proud when,he,HE,42,205,1
He put his hands in his pockets and,leaned,LEANED,157,1150,1
The gate,was,WAS,143,997,1
He drove,his,HIS,132,887,1
He was leaning against,his,HIS,93,555,1
John,gave,GAVE,97,584,1
Five will be,listening,LISTENING,15,61,1
"The gate was double, one huge mass",of,OF,143,1002,1
I cant see any amount of talk getting you out of,this,THIS,185,1468,1
Andy felt good when,he,HE,188,1497,1
Michael knew they never hit him and that,was,WAS,168,1271,1
Steve,sat,SAT,45,220,1
Men,could,COULD,122,793,1
She,couldnt,COULDNT,28,124,1
She couldnt help feel,for,FOR,28,127,1
"The gathered villagers took a step back, almost as",one,ONE,144,1014,1
I mostly just pick a dry white and drink,it,IT,187,1490,1
The last thing Alex,felt,FELT,173,1322,1
He let Donald go and he,fell,FELL,182,1427,1
His men will not follow,him,HIM,114,726,1
He,called,CALLED,131,876,1
Helen,ran,RAN,5,17,1
They say he can breathe fire and kill a man with a single,word.,WORD,200,1656,1
John gave Bernard a hard slap,on,ON,97,589,1
From the moment we leave this spot be very careful,what,WHAT,180,1407,1
In,the,THE,161,1187,1
You know that I will do whatever you,ask,ASK,148,1053,1
One by one,she,SHE,192,1544,1
Men could be paid,to,TO,122,796,1
The bored looking soldier continued looking,bored.,BORED,54,279,1
The,truck,TRUCK,174,1330,1
I cant see,any,ANY,185,1460,1
He,sighed,SIGHED,91,536,1
He folded his arms across his chest and put out his,lip.,LIP,155,1131,1
If I have time,at,AT,196,1595,1
A,smile,SMILE,150,1066,1
There will be men to kill,either,EITHER,81,463,1
In the morning at breakfast Mike,smiled,SMILED,162,1203,1
You shouldnt have been racing my,truck,TRUCK,149,1061,1
Despite what Frank had told her,Ellen,ELLEN,130,871,1
Dont die of,cold,COLD,85,490,1
She would soon be found if she tried to,hide.,HIDE,127,846,1
Jacques sighed and tried to move out of the,way.,WAY,124,819,1
If,I,I,196,1592,1
Bob sat at the entrance to the warehouse and made,up,UP,190,1527,1
Alice is,looking,LOOKING,34,155,1
Billy knocked on the door and waited till he was,told,TOLD,189,1515,1
Whether Peter heard him or,not,NOT,110,692,1
Ill break your neck,if,IF,115,734,1
The truck,was,WAS,174,1331,1
He rose from his seat and stopped mid way,when,WHEN,194,1574,1
Tell,me,ME,78,437,1
Jamie took a cigarette and,Andy,ANDY,125,824,1
Underneath the table her hand,was,WAS,109,684,1
Finally Maria,sat,SAT,152,1089,1
Ian gave Geoffrey,a,A,116,742,1
A tube train took,his,HIS,14,57,1
He folded his arms across his chest and put out,his,HIS,155,1130,1
Run along home now and,bring,BRING,140,970,1
He smiled when she let out a big,yawn.,YAWN,92,551,1
I was thinking of getting the band,together,TOGETHER,94,566,1
I know Richard drinks a little too much and has a bit of,a,A,203,1697,1
You give me,a,A,111,698,1
He,called,CALLED,63,332,1
He was,built,BUILT,158,1155,1
This mans hair,is,IS,10,39,1
He slammed the knife down on the,lamb.,LAMB,65,352,1
Bruce is looking for,someone,SOMEONE,179,1389,1
You know better than to talk to your mother like,that.,THAT,147,1045,1
He called,out,OUT,63,333,1
Brian sat down at an empty table and,began,BEGAN,191,1537,1
Bob sat at the entrance to the warehouse,and,AND,190,1525,1
He heaved,his,HIS,87,505,1
Things were looking up,again.,AGAIN,9,36,1
Brian sat,down,DOWN,191,1531,1
One by one she,placed,PLACED,192,1545,1
He sighed and walked back to the,wood,WOOD,91,542,1
Jimmy liked the fact they were,calling,CALLING,118,763,1
Jamie,took,TOOK,125,820,1
Charles felt sick to the pit of,his,HIS,101,622,1
He staggered into the chair at,his,HIS,66,358,1
He held his mother tight and she cried,into,INTO,133,903,1
The speaker turned to her with a smile and a bow,of,OF,199,1641,1
Gordon,felt,FELT,16,64,1
Let us leave,these,THESE,69,376,1
They,turned,TURNED,108,672,1
He,is,IS,88,512,1
He had another shock when they told him he,was,WAS,156,1140,1
John gave Bernard,a,A,97,586,1
He needed putting in,his,HIS,18,77,1
Hes broken his,wrists,WRISTS,21,91,1
They stared at the black wall and,now,NOW,175,1347,1
Let us leave these poor people in,peace.,PEACE,69,380,1
He rose from his seat and stopped mid way when Joe,glared,GLARED,194,1576,1
You know better than to talk to your,mother,MOTHER,147,1043,1
It is not the most fragrant of places but we,make,MAKE,164,1229,1
The police,officer,OFFICER,198,1619,1
Ken just hoped he wasnt,taking,TAKING,136,930,1
One,by,BY,192,1542,1
Looks like a walk,did,DID,41,199,1
Andrew closed the,office,OFFICE,100,610,1
He,heaved,HEAVED,87,504,1
Let us give battle to these foreign snakes,once,ONCE,166,1249,1
Joseph walked into the office and removed,his,HIS,126,835,1
"I am trying, old man, but I would rather",kill,KILL,159,1173,1
He probably doesnt,want,WANT,37,174,1
Joseph walked into the office and removed his flat,cap.,CAP,126,837,1
He put his hands in his pockets and leaned against the,truck.,TRUCK,157,1153,1
William sat down and,tucked,TUCKED,71,391,1
Henry washed,his,HIS,197,1606,1
He let Donald,go,GO,182,1424,1
She couldnt,help,HELP,28,125,1
If this were a movie instead of a book this would,be,BE,204,1709,1
He smiled again and felt like a man and not,just,JUST,183,1443,1
